,country,year,respiratory_infections_and_tuberculosis_number,respiratory_infections_and_tuberculosis_percent,respiratory_infections_and_tuberculosis_rate,chronic_respiratory_diseases_number,chronic_respiratory_diseases_percent,chronic_respiratory_diseases_rate,all_greenhouse_gas,CO2,CH4,N2O,Fgas,mean_annual_temp,total_respiratory_diseases,total_diseases_percent
115,Canada,1993,7450,0.03709,26.23654,10492,0.052239999999999995,36.95278,636.25,487.56,95.79,42.84,10.05,-6.9166669999999995,17942,0.08932999999999999
116,Sweden,1991,4472,0.04759,51.72124,2569,0.02735,29.71824,70.91,56.1,8.42,5.7,0.68,2.4,7041,0.07494
117,Hungary,1992,1913,0.01299,18.467579999999998,5426,0.03682,52.36081,75.77,59.63,10.49,5.43,0.23,11.033333,7339,0.04981
118,Hungary,1993,1872,0.012629999999999999,18.09896,5398,0.036410000000000005,52.18593,76.32,60.01,9.96,6.1,0.25,10.258333,7270,0.04904
119,Slovenia,1993,576,0.03145,29.098059999999997,692,0.03776,34.95629,7.77,4.16,2.54,0.91,0.16,8.908333,1268,0.06921
120,Estonia,1993,390,0.01883,25.7909,335,0.0162,22.188229999999997,19.99,16.52,2.05,1.39,0.02,5.2916669999999995,725,0.03503
121,Australia,1993,2027,0.01686,11.5801,7312,0.06079,41.761070000000004,559.98,322.72,154.07,77.79,5.42,21.783333,9339,0.07765
122,Poland,1992,8638,0.02205,22.54505,13644,0.03482,35.61007,414.15,330.22,60.62,23.11,0.21,8.833333,22282,0.05687
123,Sweden,1993,4479,0.047510000000000004,51.18778,2744,0.0291,31.356720000000003,73.42,58.36,8.47,6.01,0.57,1.8916669999999998,7223,0.07661000000000001
124,Portugal,1994,4278,0.04306,41.881859999999996,4713,0.04743,46.13987,64.41,48.77,11.73,3.79,0.12,15.491667000000001,8991,0.09049
125,Switzerland,1994,2507,0.04088,35.54395,2605,0.04247,36.93155,49.97,41.13,6.06,2.61,0.16,6.575,5112,0.08335000000000001
126,Canada,1994,7671,0.03764,26.70631,10834,0.05316,37.71674,656.82,503.69,98.36,45.11,9.65,-6.733333,18505,0.09079999999999999
127,Japan,1994,78857,0.08986,61.92738000000001,33301,0.03795,26.15233,1186.79,1087.22,36.17,29.47,33.93,11.433333,112158,0.12780999999999998
128,Mexico,1994,32939,0.07368999999999999,35.72208,18858,0.0422,20.45105,483.6,348.29,96.58,37.0,1.74,21.375,51797,0.11588999999999999
129,Slovenia,1992,558,0.03044,28.20737,692,0.03776,35.00911,7.06,3.42,2.54,0.94,0.15,9.5,1250,0.0682
130,Latvia,1994,845,0.02036,32.78175,753,0.01814,29.205890000000004,1.8,-2.74,2.85,1.67,0.02,6.141667,1598,0.0385
131,Austria,1994,1291,0.01621,16.40785,2410,0.03025,30.61382,61.22,44.81,10.61,4.6,1.19,7.9166669999999995,3701,0.04646
132,Denmark,1994,2115,0.03449,40.632,3743,0.06104,71.9013,79.2,63.53,8.96,6.51,0.19,8.625,5858,0.09553
133,Germany,1994,19028,0.021840000000000002,23.33595,38081,0.0437,46.70091,1011.41,824.87,113.71,64.81,8.02,9.925,57109,0.06554
134,Netherlands,1994,5735,0.04324,37.41553,7643,0.057629999999999994,49.866659999999996,215.43,158.9,30.25,15.76,10.53,10.458333,13378,0.10086999999999999
135,Mexico,1993,34499,0.07758999999999999,38.1262,18264,0.041089999999999995,20.18446,458.0,323.14,95.98,36.89,1.99,20.95,52763,0.11867999999999998
136,Poland,1994,8296,0.021730000000000003,21.60714,12434,0.032560000000000006,32.3853,408.95,326.6,58.03,24.04,0.29,8.916667,20730,0.054290000000000005
137,Slovakia,1994,2563,0.05017,47.9201,907,0.017769999999999998,16.96893,41.56,32.27,6.31,2.81,0.17,8.8,3470,0.06794
138,New Zealand,1994,923,0.03436,25.80009,1698,0.06318,47.43388,46.29,-1.61,32.77,14.91,0.22,9.666667,2621,0.09754
139,Belgium,1994,3970,0.03841,39.389959999999995,7011,0.06782,69.55115,133.02,110.99,12.98,8.53,0.53,10.933333,10981,0.10623
140,Finland,1994,2912,0.06019,57.09567,1265,0.026160000000000003,24.80933,42.92,28.8,8.05,5.98,0.09,1.608333,4177,0.08635000000000001
141,Greece,1994,2408,0.02497,22.45951,2634,0.02731,24.56614,99.62,78.81,10.99,7.04,2.79,14.408332999999999,5042,0.05228
142,Israel,1994,695,0.02081,12.57409,1419,0.04249,25.67579,55.21,43.34,9.48,1.75,0.64,20.3,2114,0.0633
143,Slovakia,1992,2808,0.05275,52.78646,997,0.01873,18.74403,46.97,36.66,7.27,2.74,0.29,8.225,3805,0.07148
144,Spain,1994,9628,0.028689999999999997,24.57305,24562,0.07318999999999999,62.688140000000004,246.79,185.76,34.88,20.55,5.6,13.891667000000002,34190,0.10187999999999998
145,United Kingdom,1994,47150,0.07518999999999999,81.13208,37932,0.060489999999999995,65.2706,711.75,524.43,122.3,45.38,19.63,8.858333,85082,0.13568
146,Chile,1994,7222,0.09614,51.285509999999995,2822,0.03757,20.042920000000002,36.84,18.01,13.16,5.51,0.16,8.833333,10044,0.13371
147,Estonia,1992,333,0.01711,21.61328,323,0.01661,20.977870000000003,25.79,21.97,2.28,1.53,0.02,6.433333,656,0.03372
148,Norway,1994,2977,0.06623,68.77641,1736,0.03862,40.10657,32.28,18.63,6.13,4.53,3.0,1.016667,4713,0.10485
149,Estonia,1994,463,0.020919999999999998,31.28548,350,0.01585,23.70103,19.11,16.08,1.75,1.25,0.02,5.408333,813,0.03677
150,Sweden,1994,4246,0.045860000000000005,48.29564,2752,0.02972,31.305509999999998,75.23,60.35,8.35,5.88,0.65,1.8,6998,0.07558000000000001
151,Turkey,1994,29427,0.07616,45.97477,19107,0.04948,29.85255,200.92,136.99,37.03,25.68,1.22,11.708333,48534,0.12564
152,Ireland,1994,2069,0.06722,56.80203,2383,0.07743,65.42904,57.02,30.45,15.96,10.49,0.12,9.425,4452,0.14465
153,Luxembourg,1994,95,0.0253,23.90873,189,0.050230000000000004,47.46862,11.09,10.2,0.59,0.29,0.02,10.4,284,0.07553
154,Australia,1994,2147,0.01743,12.12994,7523,0.06106,42.49771,563.06,329.03,152.9,77.65,3.48,21.733333,9670,0.07849
155,Spain,1995,9856,0.028839999999999998,25.06855,25522,0.07468,64.91026,260.7,197.88,35.32,20.37,7.13,14.225,35378,0.10352
156,United Kingdom,1995,49875,0.07919,85.52767,38648,0.061360000000000005,66.27444,702.55,513.33,124.1,44.04,21.09,9.208333,88523,0.14055
157,Chile,1995,7500,0.09707,52.56143,2900,0.03754,20.32787,40.3,20.89,13.45,5.8,0.17,8.558333,10400,0.13461
158,Slovenia,1995,653,0.03524,32.89092,719,0.038810000000000004,36.23402,8.72,5.07,2.52,0.96,0.17,8.891667,1372,0.07405
159,Estonia,1995,473,0.02299,32.65262,326,0.01586,22.52606,17.42,14.48,1.71,1.2,0.03,6.1666669999999995,799,0.038849999999999996
160,Hungary,1995,1721,0.01193,16.69366,5088,0.03528,49.3573,74.3,59.07,8.82,6.1,0.3,10.508333,6809,0.04721
161,Australia,1995,2239,0.018080000000000002,12.51833,7543,0.06091,42.16933,571.19,339.4,151.43,77.51,2.84,21.566667000000002,9782,0.07899
162,Turkey,1995,28216,0.07364,43.43221,19172,0.05008,29.5114,215.5,151.32,37.04,26.05,1.1,11.15,47388,0.12372
163,France,1994,21892,0.042539999999999994,37.43958,21944,0.04264,37.52926,463.44,319.62,76.71,60.75,6.36,12.016667,43836,0.08517999999999999
164,Hungary,1994,1796,0.01236,17.396320000000003,5233,0.036,50.67483,75.97,59.41,9.44,6.85,0.28,11.658333,7029,0.04836
165,Slovenia,1994,607,0.03299,30.601940000000003,696,0.03779,35.07698,7.85,4.2,2.5,0.98,0.17,10.158333,1303,0.07078
166,France,1995,22524,0.04344,38.406929999999996,22258,0.04293,37.95324,472.18,327.43,77.02,61.82,5.9,11.616667,44782,0.08637
167,Iceland,1995,110,0.05839,41.34382,79,0.04187,29.648120000000002,3.04,2.02,0.55,0.39,0.08,0.966667,189,0.10025999999999999
168,New Zealand,1995,879,0.032060000000000005,24.27301,1784,0.06506,49.25468,47.55,-1.5,33.54,15.29,0.22,9.983333,2663,0.09712000000000001
169,Latvia,1995,815,0.020980000000000002,32.04446,672,0.0173,26.42571,0.13,-3.89,2.59,1.41,0.02,6.591667,1487,0.03828
170,Austria,1995,1239,0.01555,15.6981,2433,0.03052,30.81555,63.69,47.71,10.12,4.59,1.28,6.658333,3672,0.04607
171,Denmark,1995,2139,0.03483,40.929840000000006,3883,0.06323,74.30044000000001,76.11,60.26,9.03,6.54,0.28,8.333333,6022,0.09806
172,Germany,1995,19087,0.02194,23.342389999999998,37813,0.04347,46.2439,1004.79,822.15,111.9,62.92,7.82,9.175,56900,0.06541
173,Slovakia,1995,2517,0.04838,46.95771,917,0.01763,17.11486,42.15,32.94,6.15,2.91,0.16,7.733333,3434,0.06601
174,Poland,1995,8429,0.0219,21.948729999999998,12316,0.032,32.070190000000004,408.44,326.79,56.76,24.55,0.34,8.266667,20745,0.0539
175,Japan,1995,80340,0.08853,62.932030000000005,34471,0.037989999999999996,27.00212,1201.85,1097.1,34.98,29.66,40.12,10.725,114811,0.12652
176,Italy,1995,9373,0.017130000000000003,16.58991,24420,0.04464,43.22217,464.51,381.89,52.87,27.97,1.78,12.133333,33793,0.061770000000000005
177,Netherlands,1995,6213,0.046439999999999995,40.29401,7912,0.05914,51.31231,220.82,165.81,29.63,15.39,10.0,10.2,14125,0.10558
178,Mexico,1995,31938,0.07048,34.01835,19782,0.04367,21.07006,464.6,328.84,97.55,36.37,1.84,21.308332999999998,51720,0.11415
179,Luxembourg,1995,96,0.0258,23.98395,188,0.05003,46.513729999999995,8.94,8.04,0.59,0.29,0.02,9.841667,284,0.07583
