"","country","year","mean_year_tempeC","id","tot_gas","year_deaths"
"307","Guyana",1992,25.4,"Guyana-1992",9.8,661
"308","Guyana",1993,25.5416666666667,"Guyana-1993",9.94,762
"309","Guyana",1994,25.5916666666667,"Guyana-1994",10.23,886
"310","Guyana",1995,26.1666666666667,"Guyana-1995",11.02,976
"311","Guyana",1996,25.8833333333333,"Guyana-1996",11.38,861
"312","Guyana",1997,26.1583333333333,"Guyana-1997",11.72,1060
"313","Guyana",1998,26.65,"Guyana-1998",11.88,1139
"314","Guyana",1999,25.9583333333333,"Guyana-1999",11.94,828
"315","Hungary",1991,9.775,"Hungary-1991",85.72,22722
"316","Hungary",1992,11.0333333333333,"Hungary-1992",75.77,24402
"317","Hungary",1993,10.2583333333333,"Hungary-1993",76.32,24586
"318","Hungary",1994,11.6583333333333,"Hungary-1994",75.97,24328
"319","Hungary",1995,10.5083333333333,"Hungary-1995",74.3,23374
"320","Iceland",1991,2.45833333333333,"Iceland-1991",3.26,513
"321","Iceland",1992,1.675,"Iceland-1992",3.06,590
"322","Iceland",1993,1.58333333333333,"Iceland-1993",3.02,583
"323","Iceland",1994,1.45833333333333,"Iceland-1994",3.1,541
"324","Iceland",1995,0.966666666666667,"Iceland-1995",3.04,606
"325","Ireland",1991,9.43333333333333,"Ireland-1991",54.68,10588
"326","Ireland",1992,9.4,"Ireland-1992",54.89,10147
"327","Ireland",1993,9.25,"Ireland-1993",55.54,11000
"328","Ireland",1994,9.425,"Ireland-1994",57.02,10537
"329","Ireland",1995,9.95,"Ireland-1995",57.85,11663
"330","Ireland",1996,9.09166666666667,"Ireland-1996",59.34,11208
"331","Ireland",1997,10.1333333333333,"Ireland-1997",60.84,11404
"332","Ireland",1998,9.96666666666667,"Ireland-1998",64.24,11500
"333","Ireland",1999,9.94166666666667,"Ireland-1999",65.8,12538
"334","Ireland",2000,9.56666666666667,"Ireland-2000",68.77,11585
"335","Ireland",2001,9.48333333333333,"Ireland-2001",71.35,10707
"336","Ireland",2002,9.85,"Ireland-2002",70.62,10446
"337","Ireland",2003,9.94166666666667,"Ireland-2003",70.9,10758
"338","Ireland",2004,9.85833333333333,"Ireland-2004",70.13,10038
"339","Ireland",2005,9.975,"Ireland-2005",71.35,9952
"340","Ireland",2006,10.0666666666667,"Ireland-2006",72.32,10058
"341","Israel",1991,19.8083333333333,"Israel-1991",45.03,5491
"342","Israel",1992,18.8416666666667,"Israel-1992",47.82,5868
"343","Israel",1993,19.7416666666667,"Israel-1993",51.88,4822
"344","Israel",1994,20.3,"Israel-1994",55.21,3914
"345","Israel",1995,19.8833333333333,"Israel-1995",59.03,4603
"346","Israel",1996,20.4666666666667,"Israel-1996",62.13,6236
"347","Israel",1997,19.75,"Israel-1997",65.15,6788
"348","Italy",1991,11.8,"Italy-1991",454.34,108779
"349","Italy",1992,12.4166666666667,"Italy-1992",451.12,106258
"350","Italy",1993,12.1833333333333,"Italy-1993",444.81,105548
"351","Italy",1994,13.1333333333333,"Italy-1994",439.52,108979
"352","Italy",1995,12.1333333333333,"Italy-1995",464.51,108819
"353","Italy",1996,11.8833333333333,"Italy-1996",460.76,105906
"354","Italy",1997,12.6583333333333,"Italy-1997",464.54,112133
"355","Italy",1998,12.5083333333333,"Italy-1998",475.84,115611
"356","Italy",1999,12.6583333333333,"Italy-1999",483.07,119168
"357","Italy",2000,12.9583333333333,"Italy-2000",488,116359
"358","Italy",2001,12.7166666666667,"Italy-2001",485.95,108698
"359","Italy",2002,12.975,"Italy-2002",494.23,113401
"360","Jamaica",1991,24.8833333333333,"Jamaica-1991",9.39,1499
"361","Japan",1991,11.0166666666667,"Japan-1991",1123.86,259401
"362","Japan",1992,10.7083333333333,"Japan-1992",1137.15,272165
"363","Japan",1993,10.225,"Japan-1993",1129.63,292648
"364","Japan",1994,11.4333333333333,"Japan-1994",1186.79,298055
"365","Kazakhstan",1991,6.825,"Kazakhstan-1991",318.28,35133
"366","Kazakhstan",1992,5.99166666666667,"Kazakhstan-1992",319.1,35145
"367","Kazakhstan",1993,5.1,"Kazakhstan-1993",277.48,42023
"368","Kazakhstan",1994,5.75833333333333,"Kazakhstan-1994",252.51,42978
"369","Kazakhstan",1995,7.49166666666667,"Kazakhstan-1995",220.83,47253
"370","Kazakhstan",1996,5.23333333333333,"Kazakhstan-1996",192.78,46989
"371","Kazakhstan",1997,7.10833333333333,"Kazakhstan-1997",164.97,43777
"372","Kazakhstan",1998,6.45833333333333,"Kazakhstan-1998",164.26,39870
"373","Kazakhstan",1999,7.20833333333333,"Kazakhstan-1999",148.12,34268
"374","Kazakhstan",2000,7.01666666666667,"Kazakhstan-2000",147.35,33883
"375","Kazakhstan",2001,7.04166666666667,"Kazakhstan-2001",147.08,31322
"376","Kazakhstan",2002,7.51666666666667,"Kazakhstan-2002",164.14,31767
"377","Kazakhstan",2003,6.375,"Kazakhstan-2003",175.32,32270
"378","Kazakhstan",2004,7.66666666666667,"Kazakhstan-2004",192.35,20663
"379","Kazakhstan",2005,7.3,"Kazakhstan-2005",204.78,21190
"380","Kazakhstan",2006,7.16666666666667,"Kazakhstan-2006",226.14,19462
"381","Kazakhstan",2007,7.46666666666667,"Kazakhstan-2007",234.21,20066
"382","Kazakhstan",2008,7.34166666666667,"Kazakhstan-2008",280.62,18053
"383","Kazakhstan",2009,6.675,"Kazakhstan-2009",249.71,17422
"384","Kazakhstan",2010,7.14166666666667,"Kazakhstan-2010",275.78,15853
"385","Kazakhstan",2011,6.075,"Kazakhstan-2011",284.28,18572
"386","Kazakhstan",2012,6.51666666666667,"Kazakhstan-2012",284.28,20357
"387","Kiribati",1991,27.4916666666667,"Kiribati-1991",0.04,84
"388","Kiribati",1992,27.4916666666667,"Kiribati-1992",0.04,114
"389","Kiribati",1993,27.4916666666667,"Kiribati-1993",0.05,121
"390","Kiribati",1994,27.4916666666667,"Kiribati-1994",0.04,73
"391","Kiribati",1995,27.4916666666667,"Kiribati-1995",0.05,86
"392","Kiribati",1996,27.4916666666667,"Kiribati-1996",0.05,74
"393","Kiribati",1997,27.4916666666667,"Kiribati-1997",0.05,104
"394","Kiribati",1998,27.4916666666667,"Kiribati-1998",0.05,84
"395","Kuwait",1993,25.3,"Kuwait-1993",32.97,554
"396","Kuwait",1994,25.8833333333333,"Kuwait-1994",37.81,515
"397","Latvia",1991,6.68333333333333,"Latvia-1991",10.66,1061
"398","Latvia",1992,7.00833333333333,"Latvia-1992",7.97,1010
"399","Latvia",1993,5.84166666666667,"Latvia-1993",4.78,1213
"400","Latvia",1994,6.14166666666667,"Latvia-1994",1.8,1580
"401","Latvia",1995,6.59166666666667,"Latvia-1995",0.13,1524
"402","Lithuania",1991,7.26666666666667,"Lithuania-1991",47.61,2013
"403","Lithuania",1992,7.56666666666667,"Lithuania-1992",32.84,1884
"404","Lithuania",1993,6.425,"Lithuania-1993",26.92,6460
"405","Lithuania",1994,6.85,"Lithuania-1994",24.9,6600
"406","Lithuania",1995,7.09166666666667,"Lithuania-1995",23.29,6671
"407","Lithuania",1996,5.6,"Lithuania-1996",24.04,6145
